id,budget,revenue
19995,237000000,2788000000
285,300000000,961000000
206647,245000000,880700000
49026,250000000,1085000000
49529,260000000,284100000
559,258000000,890900000
38757,260000000,591800000
99861,280000000,1405000000
767,250000000,934000000
209112,250000000,873300000
1452,270000000,391100000
10764,200000000,586100000
58,200000000,1066000000
57201,255000000,89290000
49521,225000000,662800000
2454,225000000,419700000
24428,220000000,1520000000
1865,380000000,1046000000
41154,225000000,624000000
122917,250000000,956000000
1930,215000000,752200000
20662,200000000,310700000
57158,250000000,958400000
2268,180000000,372200000
254,207000000,550000000
597,200000000,1845000000
271110,250000000,1153000000
44833,209000000,303000000
135397,150000000,1514000000
37724,200000000,1109000000
38365,150000000,150000000
